"ClusterID","File-Name","Cluster","Group","PD-1"
5739,"RR_P129_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.61286388207626
5740,"RR_P129_CD3+_7500","CD4 Th2-like EM","R/R",2.17607983823627
5704,"RR_P138_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.37501305706873
5708,"RR_P138_CD3+_7500","CD4 Th17 CM","R/R",0.968429563581075
5710,"RR_P138_CD3+_7500","CD4 Th2 CM (1)","R/R",0.966569779088379
5723,"RR_P138_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.6843057949406
5724,"RR_P138_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.14072325328623
5732,"RR_P138_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.48007390073932
5739,"RR_P138_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.17791191249125
5740,"RR_P138_CD3+_7500","CD4 Th2-like EM","R/R",1.45516647019843
5704,"RR_P144_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.56918704624888
5708,"RR_P144_CD3+_7500","CD4 Th17 CM","R/R",1.92060294394039
5710,"RR_P144_CD3+_7500","CD4 Th2 CM (1)","R/R",1.8802902533712
5723,"RR_P144_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.07729538089664
5724,"RR_P144_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.84265511465004
5732,"RR_P144_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.58600488456947
5739,"RR_P144_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.66667494646689
5740,"RR_P144_CD3+_7500","CD4 Th2-like EM","R/R",2.53096063486594
5704,"RR_P151_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",3.01214766525675
5708,"RR_P151_CD3+_7500","CD4 Th17 CM","R/R",1.05294514144377
5710,"RR_P151_CD3+_7500","CD4 Th2 CM (1)","R/R",0.976026180923068
5723,"RR_P151_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.92222821762917
5724,"RR_P151_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.7805632487877
5732,"RR_P151_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.61506444249267
5739,"RR_P151_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.27967172748068
5740,"RR_P151_CD3+_7500","CD4 Th2-like EM","R/R",1.24909195120381
5704,"RR_P155_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.08819383885229
5708,"RR_P155_CD3+_7500","CD4 Th17 CM","R/R",1.12685521133818
5710,"RR_P155_CD3+_7500","CD4 Th2 CM (1)","R/R",1.3148842544148
