"","Pax5","CD14","EOMES","MHC-II","CD30","CCR5","CD4","CD8","MHC-I","CD25","CD57","Tim3","PD-L2","pStat1","CD163","PD-1","B2M","CCR4","CCR7","Tbet","PD-L1","FoxP3","CXCR5","CD161","CD45RO","GranzymeB","CD73","CD33","CD3","CD68","pS6","IRF4","ki-67","CD15","CD56","CD16"
"6642",2.23051196375905,-0.197783782718008,-0.0553743552954349,1.25474482804506,-0.159518549980878,-0.329196775996574,-0.461460540784668,-0.318105593179668,0.792901752282678,-0.21280010159978,-0.351385281182565,-0.359766580567079,-0.111664942102656,-0.53898458492397,-0.219246351572578,-0.123895697708786,0.614672579155486,0.751709911437597,-0.257518796340181,-0.505540685127808,-0.154959695894857,-0.375434593891124,2.0797149550738,-0.303166488495001,-0.380264818605812,-0.396583403267611,-0.127968010189497,-0.418195006364077,-0.344892582602544,-0.276739305349231,-0.35385746108388,-0.223615579639313,-0.275327168888896,-0.270054633289054,-0.305937293142248,-0.58812258758697
"6644",-0.940397045584121,-0.520292229895167,-0.983243753002628,-0.947589026754902,-0.160293306316065,-0.329528782463701,-0.461719241969679,-0.318598918637793,-1.07006235504924,-0.213136800798146,-0.351563931044162,-0.359533029553187,-0.109560969887095,-0.540470701080274,-0.218835275518959,-0.123056394769446,-1.03417239683416,-0.480643365104791,-0.262170077856042,-0.505765857374632,-0.154539431130479,-0.375620237587736,-0.325723712629283,-0.303382173376802,-0.379333977798282,-0.396705354952594,-0.138565388055529,-0.418025218195515,-0.345273808182465,-0.50064813457869,-0.524055411443259,-0.293269487674503,-0.275535996003702,-0.269240528711496,-0.305671728341021,1.50657021099711
"6651",0.296111044888492,2.15403660557287,0.467637485203349,1.3282010126447,-0.159679985562976,-0.328345050207762,1.74787124205244,-0.318034664082323,1.26920335861776,-0.213089173642239,-0.351470371209045,0.197967818967433,-0.110870841107622,1.65174714042767,-0.217116856008602,-0.123741071920647,0.967583494491248,0.677804582944871,-0.262129890448764,-0.50563779979305,-0.153697686817105,-0.37270568420303,-0.325798343253339,-0.303142070861626,1.9890976891317,-0.396746387175686,-0.136123485058588,2.76559180561139,-0.344900795495988,1.33215644566593,-0.333489572777619,-0.292591670117791,-0.275111124772773,-0.26943957973561,-0.305905745646311,-0.526200456030209
"6657",0.402314680178611,2.09274500173637,0.427197942770087,0.923033734423838,-0.159861383404815,-0.328832024520464,1.21708568062645,-0.317977400219534,1.34288864561387,-0.213197133346354,-0.35134850706662,0.395676853677309,-0.110285588270433,2.49847509639934,-0.15986269918179,-0.123432732615464,1.17292089519833,0.0590437073166728,-0.26209368952876,-0.5053724411346,-0.153652422647288,0.586589795604458,-0.325726949513275,-0.303074939524747,1.87184505325798,-0.396620038709157,-0.137392430335755,3.27900681724918,-0.344907970163967,2.042808641578,1.93290237855595,-0.216038074930395,-0.228212282731466,-0.269267600174955,-0.305787031524143,-0.587910162434681
"6661",-0.695661792995557,-0.393847951066743,-0.511955482252873,-0.70584967313359,-0.156932870137843,0.665399824458747,-0.461403327363256,-0.318101875912522,-0.293711713730895,-0.21206978266261,0.215928340222686,1.11593914519109,4,-0.238724183022447,1.01622865704574,4,-0.333308666167333,1.85990361315859,2.65376857060458,-0.438119551992668,4,2.55020300812219,1.74379888937315,0.794622541733471,2.22456310224486,-0.396426485026909,-0.132941940948591,-0.390138811024051,-0.344158061777228,1.31098763129173,-0.517905576362,-0.292407657795725,-0.275176360622997,4,2.2110081231193,1.99733066378379
"6664",0.116077599148619,2.20541268176303,-0.0481916639088677,1.27924536518582,-0.159768285827269,-0.329125050273603,2.53497912129451,-0.317964596858818,1.11649223948571,-0.213403005785624,-0.351566950786595,4,-0.110211465781306,0.853429118421146,4,-0.12373180762572,0.864048181640921,0.376885830055035,-0.26255692112578,-0.505608845213569,-0.153929304984218,0.387272678580342,-0.32590490620031,-0.30336909355311,1.33986722156881,-0.396741714581797,-0.138028759673547,0.968335517662852,-0.345663683377681,1.99996750086614,1.85314116583524,-0.290957467751299,-0.274652577929117,-0.269747107427566,-0.305752710070222,-0.587996611042836
"6669",0.20251144881988,2.05199551433356,0.161117278313137,1.33880139084767,-0.159428835361054,-0.281197612490745,-0.407905137477074,-0.318113595251824,1.08210311992095,-0.213204755564628,-0.351433121271945,-0.0786129194277811,-0.110741974718831,0.441198966110858,-0.217888214564557,-0.123638358230737,1.11001803833624,0.518572999501572,-0.261967097489726,-0.505672574458782,-0.154591964365334,-0.352459258224524,-0.325836480970582,-0.303155320867091,-0.377766587978734,-0.396706871686704,-0.137018815180989,2.37721622031421,-0.345087147802979,1.30058997780429,2.77271745116689,-0.289966458394152,-0.274738767890701,-0.269498697701333,-0.30594845110106,-0.586916509069543
"6670",1.70367439350549,-0.518580433993374,-0.464048444473605,1.12690773199435,-0.159686770097217,-0.329020055684167,-0.461543000986483,-0.317793294861378,1.87635855042852,-0.212358675599195,-0.351334465708709,-0.359851930763442,-0.111086138192762,-0.537110308989817,-0.21907310698125,-0.122570086569172,1.7359200377797,0.0598263915582721,0.336839030888936,-0.505276657080309,-0.154829358798109,-0.375617567502803,-0.316594932699957,-0.302240679894753,-0.380235005991297,-0.396574817403618,-0.127043882460692,-0.418123952568824,-0.344720526312631,-0.324486044515069,-0.494641051266867,-0.291238204816956,-0.275435123840597,-0.269796570129909,-0.306005511106578,-0.588257996981387
"6671",0.167058725669441,2.25689570012989,-0.961906427693073,0.696915493622728,-0.160357718701167,-0.32960158139569,-0.461216808929768,-0.318622182162154,-0.708213666468415,-0.21322668195892,-0.35165422072897,-0.359299509800783,-0.111167287509945,-0.540846051029179,-0.218879649670787,-0.124131417645805,0.413905447339801,-0.479388549010781,-0.262565895428623,-0.505883486546472,-0.154964388724713,-0.376329284765293,-0.326111614176327,-0.303411620947427,-0.379539882252369,-0.39670717525856,-0.137987674592208,0.399934689884246,-0.345863652095203,-0.541639690464331,-0.259749067114074,-0.293002132485517,-0.27543755346043,-0.269807808309784,-0.306088772133695,1.59329893036695
"6672",-0.942040357230568,-0.520390591308968,-0.948156181229952,-0.896536625790444,-0.160276844110276,-0.329232172398018,-0.461740481367592,-0.318634990623634,-1.06936277640085,-0.213113390454864,-0.351241789005947,-0.359115249675815,-0.107632225522628,-0.540429625844198,-0.21875857924849,-0.121515625018861,-1.03345658481321,-0.45131075827913,-0.261865578768751,-0.505752103719513,-0.153308733612901,-0.374988603444487,-0.325421338223004,-0.303267502144745,-0.187718902041731,-0.396675419833506,-0.136852605033774,-0.417829480480272,-0.345730871079495,-0.695503312550696,-0.524113709219357,-0.293214300556789,-0.275477341966402,3.11866725594704,-0.305139432293135,1.94141874739868
